rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
52,2371,大同,31.6,0.85,-0.94,-0.73,5.0,45.0,0,8.4,-3793549.0,-22351.0,-9256339.0,-108702.0,False,False,0.0,0.0,0.0,未通過,未通過
53,2374,佳能,70.8,1.05,1.0,0.45,2.0,48.7,2,92.2,145084.0,0.0,-76903.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
54,2376,技嘉,264.0,0.87,0.57,12.61,23.8,66.3,14,74.8,462049.0,372822.0,3497603.0,1624886.0,False,False,0.0,0.0,0.0,未通過,未通過
55,2377,微星,89.6,1.03,-1.32,-2.66,4.64,45.6,0,-11.9,-1452437.0,-1000.0,-1530532.0,-77000.0,False,False,0.0,0.0,0.0,未通過,未通過
56,2379,瑞昱,525.0,1.32,3.35,8.92,19.88,66.6,13,4.5,1315151.0,86735.0,1996628.0,361716.0,False,False,0.0,0.0,0.0,未通過,未通過
57,2382,廣達,319.0,0.51,-0.78,9.82,53.55,68.1,10,88.4,-239269.0,249690.0,25679917.0,2014291.0,False,False,0.0,0.0,0.0,未通過,未通過
58,2383,台光電,3325.0,0.87,-2.78,21.77,83.0,67.4,0,56.6,-331446.0,-125399.0,-431178.0,44278.0,False,False,0.0,0.0,0.0,未通過,未通過
59,2385,群光,125.0,1.11,0.4,1.54,3.91,58.4,1,3.9,-367688.0,426678.0,83098.0,524218.0,False,False,0.0,0.0,0.0,未通過,未通過
60,2354,鴻準,50.6,0.85,1.0,-4.17,2.54,40.0,2,-61.1,1109782.0,9000.0,17783.0,9000.0,False,False,0.0,0.0,0.0,未通過,未通過
61,2355,敬鵬,52.6,0.54,-2.41,12.52,9.83,63.7,0,5.7,-1258702.0,-19054.0,-2955394.0,-72121.0,False,False,0.0,0.0,0.0,未通過,未通過
62,2356,英業達,44.55,0.74,0.56,5.11,5.74,58.4,4,47.1,6730722.0,-1075375.0,15110717.0,135434.0,False,False,0.0,0.0,0.0,未通過,未通過
63,2402,毅嘉,67.4,1.71,9.95,28.63,26.13,73.0,5,13.5,10979745.0,1226000.0,19624708.0,1194004.0,False,False,0.0,0.0,0.0,未通過,未通過
64,2399,映泰,33.0,0.46,-3.51,11.24,3.02,55.4,1,-21.7,1243750.0,-17000.0,-5904214.0,-37000.0,False,False,0.0,0.0,0.0,未通過,未通過
65,2395,研華,342.5,0.84,-1.01,1.21,7.02,55.4,5,21.8,849431.0,-780404.0,2233039.0,-1433724.0,False,False,0.0,0.0,0.0,未通過,未通過
66,2404,漢唐,932.0,1.48,0.65,-1.83,52.01,51.3,1,100.6,-1560604.0,434000.0,-1826784.0,178094.0,False,False,0.0,0.0,0.0,未通過,未通過
67,2412,中華電,134.5,0.86,-0.74,-0.52,8.91,49.2,0,7.6,-8853.0,-1014793.0,107197.0,-153638.0,False,False,0.0,0.0,0.0,未通過,未通過
68,2413,環科,52.4,1.23,-2.24,2.01,2.63,52.6,0,17.6,-1080554.0,-7000.0,-1137606.0,-16000.0,False,False,0.0,0.0,0.0,未通過,未通過
69,2408,南亞科,225.5,1.08,4.88,-2.46,217.04,48.8,2,560.0,8798111.0,-180882.0,-6274944.0,-1233198.0,False,False,0.0,0.0,0.0,未通過,未通過
70,2406,國碩,31.5,0.93,-3.08,-7.22,2.28,45.2,0,160.1,-1238000.0,0.0,-3201970.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
71,2421,建準,140.0,0.67,-0.71,2.28,4.88,52.4,0,22.5,-502398.0,-5000.0,-18660.0,-5687.0,False,False,0.0,0.0,0.0,未通過,未通過
